reference image,compress image,ref img shape,ref image size,cps stream size,compress ratio,psnr,ssim
00002IMG_00002_BURST20170924131512_COVER.png,00002IMG_00002_BURST20170924131512_COVER_quality_100.jpeg,"(1518, 2024, 3)",9001,2409,3.73640514736,49.4107643969,0.998243
00002IMG_00002_BURST20170924131512_COVER.png,00002IMG_00002_BURST20170924131512_COVER_quality_90.jpeg,"(1518, 2024, 3)",9001,872,10.3222477064,39.4771372585,0.985032
00002IMG_00002_BURST20170924131512_COVER.png,00002IMG_00002_BURST20170924131512_COVER_quality_80.jpeg,"(1518, 2024, 3)",9001,583,15.4391080617,36.5693028485,0.973069
00002IMG_00002_BURST20170924131512_COVER.png,00002IMG_00002_BURST20170924131512_COVER_quality_70.jpeg,"(1518, 2024, 3)",9001,460,19.5673913043,35.0789155907,0.963475
00002IMG_00002_BURST20170924131512_COVER.png,00002IMG_00002_BURST20170924131512_COVER_quality_60.jpeg,"(1518, 2024, 3)",9001,383,23.501305483,34.0524776636,0.954512
00002IMG_00002_BURST20170924131512_COVER.png,00002IMG_00002_BURST20170924131512_COVER_quality_50.jpeg,"(1518, 2024, 3)",9001,332,27.1114457831,33.3035956404,0.946672
00002IMG_00002_BURST20170924131512_COVER.png,00002IMG_00002_BURST20170924131512_COVER_quality_40.jpeg,"(1518, 2024, 3)",9001,285,31.5824561404,32.5382646465,0.937252
00002IMG_00002_BURST20170924131512_COVER.png,00002IMG_00002_BURST20170924131512_COVER_quality_30.jpeg,"(1518, 2024, 3)",9001,236,38.1398305085,31.5737761404,0.92257
00002IMG_00002_BURST20170924131512_COVER.png,00002IMG_00002_BURST20170924131512_COVER_quality_20.jpeg,"(1518, 2024, 3)",9001,177,50.8531073446,30.1908966798,0.895272
00002IMG_00002_BURST20170924131512_COVER.png,00002IMG_00002_BURST20170924131512_COVER_quality_10.jpeg,"(1518, 2024, 3)",9001,108,83.3425925926,27.5822353859,0.817854
0001.png,0001_quality_100.jpeg,"(1512, 2016, 3)",8930,756,11.8121693122,55.1944989908,0.997946
0001.png,0001_quality_90.jpeg,"(1512, 2016, 3)",8930,179,49.8882681564,50.2740594467,0.993933
0001.png,0001_quality_80.jpeg,"(1512, 2016, 3)",8930,112,79.7321428571,48.0934425448,0.990853
0001.png,0001_quality_70.jpeg,"(1512, 2016, 3)",8930,89,100.337078652,46.6968507771,0.98829
0001.png,0001_quality_60.jpeg,"(1512, 2016, 3)",8930,76,117.5,44.7711207894,0.982304
0001.png,0001_quality_50.jpeg,"(1512, 2016, 3)",8930,69,129.420289855,44.5654069553,0.982359
0001.png,0001_quality_40.jpeg,"(1512, 2016, 3)",8930,63,141.746031746,43.4244076033,0.977198
0001.png,0001_quality_30.jpeg,"(1512, 2016, 3)",8930,58,153.965517241,41.5568719002,0.967419
0001.png,0001_quality_20.jpeg,"(1512, 2016, 3)",8930,53,168.490566038,39.2701465318,0.946927
0001.png,0001_quality_10.jpeg,"(1512, 2016, 3)",8930,49,182.244897959,34.3392620697,0.874485
0002.png,0002_quality_100.jpeg,"(2016, 1512, 3)",8930,2457,3.63451363451,50.334680043,0.998716
0002.png,0002_quality_90.jpeg,"(2016, 1512, 3)",8930,898,9.94432071269,38.79119881,0.984998
0002.png,0002_quality_80.jpeg,"(2016, 1512, 3)",8930,599,14.9081803005,35.8249098362,0.972122
0002.png,0002_quality_70.jpeg,"(2016, 1512, 3)",8930,474,18.8396624473,34.3729657417,0.962238
0002.png,0002_quality_60.jpeg,"(2016, 1512, 3)",8930,397,22.4937027708,33.3929236521,0.952638
0002.png,0002_quality_50.jpeg,"(2016, 1512, 3)",8930,346,25.8092485549,32.7083481529,0.945559
0002.png,0002_quality_40.jpeg,"(2016, 1512, 3)",8930,299,29.8662207358,31.9647827496,0.935665
0002.png,0002_quality_30.jpeg,"(2016, 1512, 3)",8930,247,36.1538461538,31.0014017217,0.92087
0002.png,0002_quality_20.jpeg,"(2016, 1512, 3)",8930,183,48.7978142077,29.6139176283,0.893971
0002.png,0002_quality_10.jpeg,"(2016, 1512, 3)",8930,104,85.8653846154,27.2511019044,0.815587
0003.png,0003_quality_100.jpeg,"(1512, 2016, 3)",8930,1552,5.75386597938,50.9643404392,0.997927
0003.png,0003_quality_90.jpeg,"(1512, 2016, 3)",8930,384,23.2552083333,44.2586679687,0.988061
0003.png,0003_quality_80.jpeg,"(1512, 2016, 3)",8930,218,40.9633027523,42.7414355511,0.983738
0003.png,0003_quality_70.jpeg,"(1512, 2016, 3)",8930,158,56.5189873418,41.7890465556,0.980671
0003.png,0003_quality_60.jpeg,"(1512, 2016, 3)",8930,127,70.3149606299,40.9894179399,0.977464
0003.png,0003_quality_50.jpeg,"(1512, 2016, 3)",8930,112,79.7321428571,40.4579279987,0.975927
0003.png,0003_quality_40.jpeg,"(1512, 2016, 3)",8930,98,91.1224489796,39.6405179642,0.972718
0003.png,0003_quality_30.jpeg,"(1512, 2016, 3)",8930,86,103.837209302,38.5205820818,0.967148
0003.png,0003_quality_20.jpeg,"(1512, 2016, 3)",8930,73,122.328767123,36.751149777,0.955209
0003.png,0003_quality_10.jpeg,"(1512, 2016, 3)",8930,60,148.833333333,32.6011690668,0.917534
0004.png,0004_quality_100.jpeg,"(1512, 2016, 3)",8930,1835,4.86648501362,50.5750166534,0.998783
0004.png,0004_quality_90.jpeg,"(1512, 2016, 3)",8930,544,16.4154411765,42.7723888168,0.993398
0004.png,0004_quality_80.jpeg,"(1512, 2016, 3)",8930,350,25.5142857143,40.969361965,0.990555
0004.png,0004_quality_70.jpeg,"(1512, 2016, 3)",8930,271,32.9520295203,39.8679896465,0.988285
0004.png,0004_quality_60.jpeg,"(1512, 2016, 3)",8930,223,40.0448430493,39.0196297221,0.985553
0004.png,0004_quality_50.jpeg,"(1512, 2016, 3)",8930,193,46.2694300518,38.3720064991,0.984021
0004.png,0004_quality_40.jpeg,"(1512, 2016, 3)",8930,166,53.7951807229,37.5327106095,0.981071
0004.png,0004_quality_30.jpeg,"(1512, 2016, 3)",8930,139,64.2446043165,36.3691905658,0.976595
0004.png,0004_quality_20.jpeg,"(1512, 2016, 3)",8930,107,83.4579439252,34.3807001344,0.966041
0004.png,0004_quality_10.jpeg,"(1512, 2016, 3)",8930,72,124.027777778,30.8222431588,0.938143
0006.png,0006_quality_100.jpeg,"(1512, 2016, 3)",8930,2082,4.28914505283,49.9780362198,0.997857
0006.png,0006_quality_90.jpeg,"(1512, 2016, 3)",8930,686,13.0174927114,39.9955553838,0.984062
0006.png,0006_quality_80.jpeg,"(1512, 2016, 3)",8930,447,19.9776286353,36.9595795995,0.973092
0006.png,0006_quality_70.jpeg,"(1512, 2016, 3)",8930,351,25.4415954416,35.3486626417,0.964418
0006.png,0006_quality_60.jpeg,"(1512, 2016, 3)",8930,293,30.4778156997,34.2406814037,0.956075
0006.png,0006_quality_50.jpeg,"(1512, 2016, 3)",8930,257,34.7470817121,33.4449448582,0.949272
0006.png,0006_quality_40.jpeg,"(1512, 2016, 3)",8930,224,39.8660714286,32.6760300091,0.941334
0006.png,0006_quality_30.jpeg,"(1512, 2016, 3)",8930,189,47.2486772487,31.6978009005,0.927198
0006.png,0006_quality_20.jpeg,"(1512, 2016, 3)",8930,147,60.7482993197,30.3012456572,0.901122
0006.png,0006_quality_10.jpeg,"(1512, 2016, 3)",8930,98,91.1224489796,27.7850650694,0.82418
0007.png,0007_quality_100.jpeg,"(1512, 2016, 3)",8930,1736,5.14400921659,47.9634437988,0.999184
0007.png,0007_quality_90.jpeg,"(1512, 2016, 3)",8930,472,18.9194915254,40.3734958881,0.99452
0007.png,0007_quality_80.jpeg,"(1512, 2016, 3)",8930,290,30.7931034483,37.8507666972,0.99087
0007.png,0007_quality_70.jpeg,"(1512, 2016, 3)",8930,225,39.6888888889,36.4447058792,0.987948
0007.png,0007_quality_60.jpeg,"(1512, 2016, 3)",8930,189,47.2486772487,35.4555236383,0.985184
0007.png,0007_quality_50.jpeg,"(1512, 2016, 3)",8930,167,53.4730538922,34.7397711058,0.982921
0007.png,0007_quality_40.jpeg,"(1512, 2016, 3)",8930,146,61.1643835616,33.9907573388,0.980028
0007.png,0007_quality_30.jpeg,"(1512, 2016, 3)",8930,125,71.44,33.0154020021,0.975329
0007.png,0007_quality_20.jpeg,"(1512, 2016, 3)",8930,101,88.4158415842,31.5772832268,0.967348
0007.png,0007_quality_10.jpeg,"(1512, 2016, 3)",8930,74,120.675675676,28.80711825,0.942698
0008.png,0008_quality_100.jpeg,"(1512, 2016, 3)",8930,2390,3.73640167364,48.7895195846,0.999442
0008.png,0008_quality_90.jpeg,"(1512, 2016, 3)",8930,836,10.6818181818,38.5284898558,0.99383
0008.png,0008_quality_80.jpeg,"(1512, 2016, 3)",8930,556,16.0611510791,34.7570241888,0.986551
0008.png,0008_quality_70.jpeg,"(1512, 2016, 3)",8930,437,20.4347826087,32.8087257094,0.97993
0008.png,0008_quality_60.jpeg,"(1512, 2016, 3)",8930,365,24.4657534247,31.5997237916,0.974097
0008.png,0008_quality_50.jpeg,"(1512, 2016, 3)",8930,319,27.9937304075,30.7678749842,0.968955
0008.png,0008_quality_40.jpeg,"(1512, 2016, 3)",8930,278,32.1223021583,29.9744373522,0.963171
0008.png,0008_quality_30.jpeg,"(1512, 2016, 3)",8930,234,38.1623931624,29.0726583529,0.955019
0008.png,0008_quality_20.jpeg,"(1512, 2016, 3)",8930,183,48.7978142077,27.827681201,0.939928
0008.png,0008_quality_10.jpeg,"(1512, 2016, 3)",8930,116,76.9827586207,25.6468666425,0.904964
0009.png,0009_quality_100.jpeg,"(2016, 1512, 3)",8930,1912,4.67050209205,49.1536839942,0.996871
0009.png,0009_quality_90.jpeg,"(2016, 1512, 3)",8930,580,15.3965517241,40.43004667,0.978007
0009.png,0009_quality_80.jpeg,"(2016, 1512, 3)",8930,367,24.3324250681,37.8734004752,0.967168
0009.png,0009_quality_70.jpeg,"(2016, 1512, 3)",8930,282,31.6666666667,36.5270439853,0.958861
0009.png,0009_quality_60.jpeg,"(2016, 1512, 3)",8930,233,38.3261802575,35.5590942696,0.951176
0009.png,0009_quality_50.jpeg,"(2016, 1512, 3)",8930,203,43.9901477833,34.8799796104,0.945923
