reference image,compress image,ref img shape,ref image size,cps stream size,compress ratio,psnr,ssim
00002IMG_00002_BURST20170924131512_COVER.png,00002IMG_00002_BURST20170924131512_COVER_ratio_192.jp2,"(1518, 2024, 3)",9001,46,195.673913043,27.8544070157,0.834469
00002IMG_00002_BURST20170924131512_COVER.png,00002IMG_00002_BURST20170924131512_COVER_ratio_128.jp2,"(1518, 2024, 3)",9001,70,128.585714286,28.8968586544,0.86316
00002IMG_00002_BURST20170924131512_COVER.png,00002IMG_00002_BURST20170924131512_COVER_ratio_96.jp2,"(1518, 2024, 3)",9001,93,96.7849462366,29.811149915,0.884577
00002IMG_00002_BURST20170924131512_COVER.png,00002IMG_00002_BURST20170924131512_COVER_ratio_64.jp2,"(1518, 2024, 3)",9001,140,64.2928571429,31.2858597846,0.911573
00002IMG_00002_BURST20170924131512_COVER.png,00002IMG_00002_BURST20170924131512_COVER_ratio_48.jp2,"(1518, 2024, 3)",9001,187,48.1336898396,32.4207360515,0.931222
00002IMG_00002_BURST20170924131512_COVER.png,00002IMG_00002_BURST20170924131512_COVER_ratio_32.jp2,"(1518, 2024, 3)",9001,281,32.0320284698,34.4166159582,0.952919
00002IMG_00002_BURST20170924131512_COVER.png,00002IMG_00002_BURST20170924131512_COVER_ratio_24.jp2,"(1518, 2024, 3)",9001,375,24.0026666667,36.0028560848,0.96585
00002IMG_00002_BURST20170924131512_COVER.png,00002IMG_00002_BURST20170924131512_COVER_ratio_16.jp2,"(1518, 2024, 3)",9001,562,16.0160142349,38.6754910546,0.980064
00002IMG_00002_BURST20170924131512_COVER.png,00002IMG_00002_BURST20170924131512_COVER_ratio_12.jp2,"(1518, 2024, 3)",9001,749,12.0173564753,40.7158209496,0.987664
00002IMG_00002_BURST20170924131512_COVER.png,00002IMG_00002_BURST20170924131512_COVER_ratio_8.jp2,"(1518, 2024, 3)",9001,1125,8.00088888889,43.7894644009,0.993723
0001.png,0001_ratio_192.jp2,"(1512, 2016, 3)",8930,46,194.130434783,46.888741934,0.989548
0001.png,0001_ratio_128.jp2,"(1512, 2016, 3)",8930,69,129.420289855,48.0476117624,0.991432
0001.png,0001_ratio_96.jp2,"(1512, 2016, 3)",8930,92,97.0652173913,48.4097212442,0.992085
0001.png,0001_ratio_64.jp2,"(1512, 2016, 3)",8930,139,64.2446043165,49.110813741,0.992848
0001.png,0001_ratio_48.jp2,"(1512, 2016, 3)",8930,185,48.2702702703,50.1883842811,0.994233
0001.png,0001_ratio_32.jp2,"(1512, 2016, 3)",8930,279,32.0071684588,50.70974896,0.99484
0001.png,0001_ratio_24.jp2,"(1512, 2016, 3)",8930,371,24.0700808625,51.3655262205,0.995591
0001.png,0001_ratio_16.jp2,"(1512, 2016, 3)",8930,558,16.0035842294,54.3054709339,0.997627
0001.png,0001_ratio_12.jp2,"(1512, 2016, 3)",8930,744,12.002688172,56.8858418587,0.998685
0001.png,0001_ratio_8.jp2,"(1512, 2016, 3)",8930,1116,8.0017921147,70.3005267878,0.999948
0002.png,0002_ratio_192.jp2,"(2016, 1512, 3)",8930,46,194.130434783,27.6160271642,0.830647
0002.png,0002_ratio_128.jp2,"(2016, 1512, 3)",8930,69,129.420289855,28.4262912141,0.860211
0002.png,0002_ratio_96.jp2,"(2016, 1512, 3)",8930,93,96.0215053763,29.2152643432,0.881081
0002.png,0002_ratio_64.jp2,"(2016, 1512, 3)",8930,139,64.2446043165,30.4340803356,0.907512
0002.png,0002_ratio_48.jp2,"(2016, 1512, 3)",8930,185,48.2702702703,31.4233856635,0.928067
0002.png,0002_ratio_32.jp2,"(2016, 1512, 3)",8930,278,32.1223021583,33.2852163717,0.949185
0002.png,0002_ratio_24.jp2,"(2016, 1512, 3)",8930,372,24.0053763441,34.7720363521,0.963519
0002.png,0002_ratio_16.jp2,"(2016, 1512, 3)",8930,557,16.0323159785,37.4871948523,0.979129
0002.png,0002_ratio_12.jp2,"(2016, 1512, 3)",8930,744,12.002688172,39.587126837,0.98656
0002.png,0002_ratio_8.jp2,"(2016, 1512, 3)",8930,1116,8.0017921147,43.0797001577,0.993402
0003.png,0003_ratio_192.jp2,"(1512, 2016, 3)",8930,46,194.130434783,39.8868411916,0.976165
0003.png,0003_ratio_128.jp2,"(1512, 2016, 3)",8930,69,129.420289855,40.8133142153,0.978537
0003.png,0003_ratio_96.jp2,"(1512, 2016, 3)",8930,92,97.0652173913,41.2606926777,0.980047
0003.png,0003_ratio_64.jp2,"(1512, 2016, 3)",8930,139,64.2446043165,41.9161026055,0.98233
0003.png,0003_ratio_48.jp2,"(1512, 2016, 3)",8930,185,48.2702702703,42.5594109458,0.984423
0003.png,0003_ratio_32.jp2,"(1512, 2016, 3)",8930,279,32.0071684588,43.5283470913,0.987402
0003.png,0003_ratio_24.jp2,"(1512, 2016, 3)",8930,371,24.0700808625,44.0616698192,0.989805
0003.png,0003_ratio_16.jp2,"(1512, 2016, 3)",8930,557,16.0323159785,45.858148587,0.993096
0003.png,0003_ratio_12.jp2,"(1512, 2016, 3)",8930,743,12.0188425303,46.9141304878,0.994779
0003.png,0003_ratio_8.jp2,"(1512, 2016, 3)",8930,1115,8.00896860987,49.6825684324,0.99715
0004.png,0004_ratio_192.jp2,"(1512, 2016, 3)",8930,46,194.130434783,34.8205180581,0.97309
0004.png,0004_ratio_128.jp2,"(1512, 2016, 3)",8930,69,129.420289855,36.0284280752,0.977927
0004.png,0004_ratio_96.jp2,"(1512, 2016, 3)",8930,93,96.0215053763,37.127513865,0.98105
0004.png,0004_ratio_64.jp2,"(1512, 2016, 3)",8930,139,64.2446043165,38.3863049931,0.985006
0004.png,0004_ratio_48.jp2,"(1512, 2016, 3)",8930,186,48.0107526882,39.4030266926,0.987337
0004.png,0004_ratio_32.jp2,"(1512, 2016, 3)",8930,278,32.1223021583,40.5564039839,0.989807
0004.png,0004_ratio_24.jp2,"(1512, 2016, 3)",8930,371,24.0700808625,41.6512519263,0.991507
0004.png,0004_ratio_16.jp2,"(1512, 2016, 3)",8930,557,16.0323159785,43.1397012006,0.993712
0004.png,0004_ratio_12.jp2,"(1512, 2016, 3)",8930,744,12.002688172,44.2730204762,0.994893
0004.png,0004_ratio_8.jp2,"(1512, 2016, 3)",8930,1115,8.00896860987,46.9931997726,0.997014
0006.png,0006_ratio_192.jp2,"(1512, 2016, 3)",8930,46,194.130434783,28.3453389315,0.86317
0006.png,0006_ratio_128.jp2,"(1512, 2016, 3)",8930,69,129.420289855,29.6525403685,0.88765
0006.png,0006_ratio_96.jp2,"(1512, 2016, 3)",8930,92,97.0652173913,30.9171488778,0.907557
0006.png,0006_ratio_64.jp2,"(1512, 2016, 3)",8930,139,64.2446043165,32.7683201526,0.930879
0006.png,0006_ratio_48.jp2,"(1512, 2016, 3)",8930,186,48.0107526882,34.3263586295,0.948781
0006.png,0006_ratio_32.jp2,"(1512, 2016, 3)",8930,279,32.0071684588,36.7682570982,0.964908
0006.png,0006_ratio_24.jp2,"(1512, 2016, 3)",8930,372,24.0053763441,38.709307539,0.976319
0006.png,0006_ratio_16.jp2,"(1512, 2016, 3)",8930,558,16.0035842294,41.2732932263,0.985038
0006.png,0006_ratio_12.jp2,"(1512, 2016, 3)",8930,744,12.002688172,43.3035950271,0.989703
0006.png,0006_ratio_8.jp2,"(1512, 2016, 3)",8930,1116,8.0017921147,46.2291685051,0.994509
0007.png,0007_ratio_192.jp2,"(1512, 2016, 3)",8930,46,194.130434783,31.8944570328,0.966458
0007.png,0007_ratio_128.jp2,"(1512, 2016, 3)",8930,69,129.420289855,33.7691802939,0.976202
0007.png,0007_ratio_96.jp2,"(1512, 2016, 3)",8930,92,97.0652173913,35.1416223672,0.981647
0007.png,0007_ratio_64.jp2,"(1512, 2016, 3)",8930,139,64.2446043165,37.3231165479,0.987868
0007.png,0007_ratio_48.jp2,"(1512, 2016, 3)",8930,185,48.2702702703,38.8428651014,0.99125
0007.png,0007_ratio_32.jp2,"(1512, 2016, 3)",8930,279,32.0071684588,41.032919078,0.994585
0007.png,0007_ratio_24.jp2,"(1512, 2016, 3)",8930,372,24.0053763441,42.3947899912,0.996056
0007.png,0007_ratio_16.jp2,"(1512, 2016, 3)",8930,557,16.0323159785,44.0410211009,0.997372
0007.png,0007_ratio_12.jp2,"(1512, 2016, 3)",8930,743,12.0188425303,45.6548666263,0.998206
0007.png,0007_ratio_8.jp2,"(1512, 2016, 3)",8930,1115,8.00896860987,47.4705358566,0.998964
0008.png,0008_ratio_192.jp2,"(1512, 2016, 3)",8930,46,194.130434783,25.5246711437,0.896277
0008.png,0008_ratio_128.jp2,"(1512, 2016, 3)",8930,69,129.420289855,26.4243343166,0.913504
0008.png,0008_ratio_96.jp2,"(1512, 2016, 3)",8930,92,97.0652173913,27.1520642261,0.92522
0008.png,0008_ratio_64.jp2,"(1512, 2016, 3)",8930,139,64.2446043165,28.8481560322,0.949045
0008.png,0008_ratio_48.jp2,"(1512, 2016, 3)",8930,185,48.2702702703,30.1070361665,0.959762
0008.png,0008_ratio_32.jp2,"(1512, 2016, 3)",8930,278,32.1223021583,32.7710083008,0.978102
0008.png,0008_ratio_24.jp2,"(1512, 2016, 3)",8930,371,24.0700808625,34.8921030604,0.984949
0008.png,0008_ratio_16.jp2,"(1512, 2016, 3)",8930,558,16.0035842294,38.6979563825,0.993954
0008.png,0008_ratio_12.jp2,"(1512, 2016, 3)",8930,744,12.002688172,41.1093076077,0.996849
