reference image,compress image,ref img shape,ref image size,cps stream size,compress ratio,psnr,ssim
00002IMG_00002_BURST20170924131512_COVER.png,00002IMG_00002_BURST20170924131512_COVER_quality_100.webp,"(1518, 2024, 3)",9001,1418,6.34767277856,45.8656872211,0.996002
00002IMG_00002_BURST20170924131512_COVER.png,00002IMG_00002_BURST20170924131512_COVER_quality_90.webp,"(1518, 2024, 3)",9001,758,11.8746701847,40.9469434611,0.988577
00002IMG_00002_BURST20170924131512_COVER.png,00002IMG_00002_BURST20170924131512_COVER_quality_80.webp,"(1518, 2024, 3)",9001,444,20.2725225225,36.9771584705,0.973428
00002IMG_00002_BURST20170924131512_COVER.png,00002IMG_00002_BURST20170924131512_COVER_quality_70.webp,"(1518, 2024, 3)",9001,329,27.358662614,35.0388823025,0.960049
00002IMG_00002_BURST20170924131512_COVER.png,00002IMG_00002_BURST20170924131512_COVER_quality_60.webp,"(1518, 2024, 3)",9001,283,31.8056537102,34.1935912463,0.952119
00002IMG_00002_BURST20170924131512_COVER.png,00002IMG_00002_BURST20170924131512_COVER_quality_50.webp,"(1518, 2024, 3)",9001,247,36.4412955466,33.4546011383,0.944345
00002IMG_00002_BURST20170924131512_COVER.png,00002IMG_00002_BURST20170924131512_COVER_quality_40.webp,"(1518, 2024, 3)",9001,208,43.2740384615,32.6096839163,0.933487
00002IMG_00002_BURST20170924131512_COVER.png,00002IMG_00002_BURST20170924131512_COVER_quality_30.webp,"(1518, 2024, 3)",9001,170,52.9470588235,31.566318766,0.917347
00002IMG_00002_BURST20170924131512_COVER.png,00002IMG_00002_BURST20170924131512_COVER_quality_20.webp,"(1518, 2024, 3)",9001,131,68.7099236641,30.4822629138,0.894787
00002IMG_00002_BURST20170924131512_COVER.png,00002IMG_00002_BURST20170924131512_COVER_quality_10.webp,"(1518, 2024, 3)",9001,92,97.8369565217,29.1862716858,0.86141
0001.png,0001_quality_100.webp,"(1512, 2016, 3)",8930,199,44.8743718593,48.9502657253,0.992692
0001.png,0001_quality_90.webp,"(1512, 2016, 3)",8930,69,129.420289855,47.578220279,0.990571
0001.png,0001_quality_80.webp,"(1512, 2016, 3)",8930,30,297.666666667,44.2730737188,0.981751
0001.png,0001_quality_70.webp,"(1512, 2016, 3)",8930,22,405.909090909,43.5703925263,0.978989
0001.png,0001_quality_60.webp,"(1512, 2016, 3)",8930,19,470.0,42.7812304656,0.974448
0001.png,0001_quality_50.webp,"(1512, 2016, 3)",8930,17,525.294117647,40.5774635538,0.956745
0001.png,0001_quality_40.webp,"(1512, 2016, 3)",8930,15,595.333333333,40.070871231,0.952506
0001.png,0001_quality_30.webp,"(1512, 2016, 3)",8930,13,686.923076923,37.8364642827,0.920159
0001.png,0001_quality_20.webp,"(1512, 2016, 3)",8930,11,811.818181818,37.3490413466,0.910584
0001.png,0001_quality_10.webp,"(1512, 2016, 3)",8930,10,893.0,35.4399956764,0.86994
0002.png,0002_quality_100.webp,"(2016, 1512, 3)",8930,1493,5.9812458138,46.4765483552,0.996786
0002.png,0002_quality_90.webp,"(2016, 1512, 3)",8930,852,10.4812206573,41.185111172,0.990566
0002.png,0002_quality_80.webp,"(2016, 1512, 3)",8930,510,17.5098039216,36.7417901206,0.976029
0002.png,0002_quality_70.webp,"(2016, 1512, 3)",8930,377,23.6870026525,34.5306579631,0.961606
0002.png,0002_quality_60.webp,"(2016, 1512, 3)",8930,326,27.3926380368,33.6381200459,0.953518
0002.png,0002_quality_50.webp,"(2016, 1512, 3)",8930,282,31.6666666667,32.770984671,0.943874
0002.png,0002_quality_40.webp,"(2016, 1512, 3)",8930,237,37.6793248945,31.8896213236,0.930843
