reference image,compress image,ref img shape,ref image size,cps stream size,compress ratio,psnr,ssim
abigail-keenan-27293.png,abigail-keenan-27293_quality_100.jpeg,"(1365, 2048, 3)",8190,2283,3.58738501971,44.9170712328,0.996192
abigail-keenan-27293.png,abigail-keenan-27293_quality_90.jpeg,"(1365, 2048, 3)",8190,766,10.6919060052,36.5415321434,0.967106
abigail-keenan-27293.png,abigail-keenan-27293_quality_60.jpeg,"(1365, 2048, 3)",8190,298,27.4832214765,33.1018829523,0.931073
abigail-keenan-27293.png,abigail-keenan-27293_quality_80.jpeg,"(1365, 2048, 3)",8190,474,17.2784810127,34.6447562688,0.950216
abigail-keenan-27293.png,abigail-keenan-27293_quality_70.jpeg,"(1365, 2048, 3)",8190,364,22.5,33.7571999963,0.940051
abigail-keenan-27293.png,abigail-keenan-27293_quality_50.jpeg,"(1365, 2048, 3)",8190,256,31.9921875,32.6050658239,0.923699
abigail-keenan-27293.png,abigail-keenan-27293_quality_40.jpeg,"(1365, 2048, 3)",8190,218,37.5688073394,32.0686742971,0.915379
abigail-keenan-27293.png,abigail-keenan-27293_quality_30.jpeg,"(1365, 2048, 3)",8190,179,45.7541899441,31.3653127458,0.904147
abigail-keenan-27293.png,abigail-keenan-27293_quality_20.jpeg,"(1365, 2048, 3)",8190,137,59.7810218978,30.2299640519,0.882654
abigail-keenan-27293.png,abigail-keenan-27293_quality_10.jpeg,"(1365, 2048, 3)",8190,88,93.0681818182,27.8962182814,0.828213
adam-przewoski-193.png,adam-przewoski-193_quality_100.jpeg,"(1176, 1176, 3)",4051,495,8.18383838384,60.3579649162,0.999439
adam-przewoski-193.png,adam-przewoski-193_quality_90.jpeg,"(1176, 1176, 3)",4051,181,22.3812154696,43.7552872946,0.984015
adam-przewoski-193.png,adam-przewoski-193_quality_60.jpeg,"(1176, 1176, 3)",4051,87,46.5632183908,38.5114004281,0.963181
adam-przewoski-193.png,adam-przewoski-193_quality_80.jpeg,"(1176, 1176, 3)",4051,123,32.9349593496,41.0727935667,0.97507
adam-przewoski-193.png,adam-przewoski-193_quality_70.jpeg,"(1176, 1176, 3)",4051,100,40.51,39.4657145779,0.968405
adam-przewoski-193.png,adam-przewoski-193_quality_50.jpeg,"(1176, 1176, 3)",4051,78,51.9358974359,37.7092817757,0.958295
adam-przewoski-193.png,adam-przewoski-193_quality_40.jpeg,"(1176, 1176, 3)",4051,69,58.7101449275,36.8453050014,0.952484
adam-przewoski-193.png,adam-przewoski-193_quality_30.jpeg,"(1176, 1176, 3)",4051,61,66.4098360656,35.6742034688,0.944354
adam-przewoski-193.png,adam-przewoski-193_quality_20.jpeg,"(1176, 1176, 3)",4051,51,79.431372549,34.145960361,0.928405
adam-przewoski-193.png,adam-przewoski-193_quality_10.jpeg,"(1176, 1176, 3)",4051,38,106.605263158,31.5992130663,0.898427
adam-willoughby-knox-56406.png,adam-willoughby-knox-56406_quality_100.jpeg,"(1360, 2048, 3)",8160,1927,4.23456149455,48.4399387827,0.996536
adam-willoughby-knox-56406.png,adam-willoughby-knox-56406_quality_90.jpeg,"(1360, 2048, 3)",8160,666,12.2522522523,39.2618622792,0.988364
adam-willoughby-knox-56406.png,adam-willoughby-knox-56406_quality_60.jpeg,"(1360, 2048, 3)",8160,309,26.4077669903,33.1611922077,0.961068
adam-willoughby-knox-56406.png,adam-willoughby-knox-56406_quality_80.jpeg,"(1360, 2048, 3)",8160,454,17.9735682819,35.9740175188,0.979335
adam-willoughby-knox-56406.png,adam-willoughby-knox-56406_quality_70.jpeg,"(1360, 2048, 3)",8160,364,22.4175824176,34.2947985792,0.971468
adam-willoughby-knox-56406.png,adam-willoughby-knox-56406_quality_50.jpeg,"(1360, 2048, 3)",8160,274,29.7810218978,32.3953612726,0.955883
adam-willoughby-knox-56406.png,adam-willoughby-knox-56406_quality_40.jpeg,"(1360, 2048, 3)",8160,241,33.8589211618,31.6341749505,0.948625
adam-willoughby-knox-56406.png,adam-willoughby-knox-56406_quality_30.jpeg,"(1360, 2048, 3)",8160,207,39.4202898551,30.6904882728,0.935471
adam-willoughby-knox-56406.png,adam-willoughby-knox-56406_quality_20.jpeg,"(1360, 2048, 3)",8160,165,49.4545454545,29.3070261023,0.902156
adam-willoughby-knox-56406.png,adam-willoughby-knox-56406_quality_10.jpeg,"(1360, 2048, 3)",8160,111,73.5135135135,26.7282721304,0.813186
afroz-nawaf-323.png,afroz-nawaf-323_quality_100.jpeg,"(1365, 2048, 3)",8190,2265,3.61589403974,40.6671743361,0.996137
afroz-nawaf-323.png,afroz-nawaf-323_quality_90.jpeg,"(1365, 2048, 3)",8190,747,10.9638554217,35.8632119567,0.986839
afroz-nawaf-323.png,afroz-nawaf-323_quality_60.jpeg,"(1365, 2048, 3)",8190,328,24.9695121951,31.8869208381,0.970392
afroz-nawaf-323.png,afroz-nawaf-323_quality_80.jpeg,"(1365, 2048, 3)",8190,499,16.4128256513,33.8825349851,0.980362
afroz-nawaf-323.png,afroz-nawaf-323_quality_70.jpeg,"(1365, 2048, 3)",8190,393,20.8396946565,32.7325849627,0.9752
afroz-nawaf-323.png,afroz-nawaf-323_quality_50.jpeg,"(1365, 2048, 3)",8190,286,28.6363636364,31.2281294708,0.966233
