reference image,compress image,ref img shape,ref image size,cps stream size,compress ratio,psnr,ssim
abigail-keenan-27293.png,abigail-keenan-27293_quality_100.webp,"(1365, 2048, 3)",8190,1373,5.96504005827,42.0845026463,0.991241
abigail-keenan-27293.png,abigail-keenan-27293_quality_90.webp,"(1365, 2048, 3)",8190,711,11.5189873418,38.5192987332,0.978893
abigail-keenan-27293.png,abigail-keenan-27293_quality_80.webp,"(1365, 2048, 3)",8190,395,20.7341772152,35.0295501638,0.953705
abigail-keenan-27293.png,abigail-keenan-27293_quality_70.webp,"(1365, 2048, 3)",8190,261,31.3793103448,33.4645074883,0.934537
abigail-keenan-27293.png,abigail-keenan-27293_quality_60.webp,"(1365, 2048, 3)",8190,216,37.9166666667,32.8772702235,0.925501
abigail-keenan-27293.png,abigail-keenan-27293_quality_50.webp,"(1365, 2048, 3)",8190,176,46.5340909091,32.2355654043,0.914849
abigail-keenan-27293.png,abigail-keenan-27293_quality_40.webp,"(1365, 2048, 3)",8190,143,57.2727272727,31.6973244576,0.904754
abigail-keenan-27293.png,abigail-keenan-27293_quality_30.webp,"(1365, 2048, 3)",8190,113,72.4778761062,30.9830371988,0.89007
abigail-keenan-27293.png,abigail-keenan-27293_quality_20.webp,"(1365, 2048, 3)",8190,85,96.3529411765,30.1588299906,0.871935
abigail-keenan-27293.png,abigail-keenan-27293_quality_10.webp,"(1365, 2048, 3)",8190,61,134.262295082,29.2275723711,0.847998
adam-przewoski-193.png,adam-przewoski-193_quality_100.webp,"(1176, 1176, 3)",4051,254,15.9488188976,52.0521790345,0.996825
adam-przewoski-193.png,adam-przewoski-193_quality_90.webp,"(1176, 1176, 3)",4051,116,34.9224137931,45.0735260753,0.986769
adam-przewoski-193.png,adam-przewoski-193_quality_80.webp,"(1176, 1176, 3)",4051,62,65.3387096774,41.3171090333,0.972377
adam-przewoski-193.png,adam-przewoski-193_quality_70.webp,"(1176, 1176, 3)",4051,45,90.0222222222,39.7787689096,0.964853
adam-przewoski-193.png,adam-przewoski-193_quality_60.webp,"(1176, 1176, 3)",4051,39,103.871794872,39.1709987219,0.961323
adam-przewoski-193.png,adam-przewoski-193_quality_50.webp,"(1176, 1176, 3)",4051,34,119.147058824,38.5172483369,0.95775
adam-przewoski-193.png,adam-przewoski-193_quality_40.webp,"(1176, 1176, 3)",4051,30,135.033333333,37.8327379587,0.953685
