reference image,compress image,ref img shape,ref image size,cps stream size,compress ratio,psnr,ssim
kodim01.png,kodim01_quality_100.jpeg,"(512, 768, 3)",1152,386,2.98445595855,46.1272975947,0.998487
kodim01.png,kodim01_quality_90.jpeg,"(512, 768, 3)",1152,151,7.62913907285,36.8113112556,0.985774
kodim01.png,kodim01_quality_80.jpeg,"(512, 768, 3)",1152,103,11.1844660194,33.3310415576,0.96935
kodim01.png,kodim01_quality_70.jpeg,"(512, 768, 3)",1152,82,14.0487804878,31.6552987229,0.955698
kodim01.png,kodim01_quality_60.jpeg,"(512, 768, 3)",1152,68,16.9411764706,30.5770224753,0.943967
kodim01.png,kodim01_quality_50.jpeg,"(512, 768, 3)",1152,60,19.2,29.8216186703,0.934075
kodim01.png,kodim01_quality_40.jpeg,"(512, 768, 3)",1152,52,22.1538461538,29.0751685137,0.921469
kodim01.png,kodim01_quality_30.jpeg,"(512, 768, 3)",1152,44,26.1818181818,28.1664192379,0.904563
kodim01.png,kodim01_quality_20.jpeg,"(512, 768, 3)",1152,34,33.8823529412,26.8986935178,0.87487
kodim01.png,kodim01_quality_10.jpeg,"(512, 768, 3)",1152,21,54.8571428571,24.7391170486,0.802123
kodim02.png,kodim02_quality_100.jpeg,"(512, 768, 3)",1152,307,3.75244299674,44.6926671769,0.999306
kodim02.png,kodim02_quality_90.jpeg,"(512, 768, 3)",1152,97,11.8762886598,37.759806297,0.996706
kodim02.png,kodim02_quality_80.jpeg,"(512, 768, 3)",1152,62,18.5806451613,35.4454690085,0.994314
kodim02.png,kodim02_quality_70.jpeg,"(512, 768, 3)",1152,47,24.5106382979,34.2395755577,0.992684
kodim02.png,kodim02_quality_60.jpeg,"(512, 768, 3)",1152,38,30.3157894737,33.3550587578,0.991138
kodim02.png,kodim02_quality_50.jpeg,"(512, 768, 3)",1152,33,34.9090909091,32.6932455138,0.989788
kodim02.png,kodim02_quality_40.jpeg,"(512, 768, 3)",1152,27,42.6666666667,32.0039280558,0.988192
kodim02.png,kodim02_quality_30.jpeg,"(512, 768, 3)",1152,22,52.3636363636,31.2098600071,0.985804
kodim02.png,kodim02_quality_20.jpeg,"(512, 768, 3)",1152,16,72.0,29.8645168288,0.98054
kodim02.png,kodim02_quality_10.jpeg,"(512, 768, 3)",1152,10,115.2,27.6953904601,0.969983
kodim03.png,kodim03_quality_100.jpeg,"(512, 768, 3)",1152,259,4.44787644788,45.8460656493,0.997055
kodim03.png,kodim03_quality_90.jpeg,"(512, 768, 3)",1152,77,14.961038961,39.8950873427,0.990369
kodim03.png,kodim03_quality_80.jpeg,"(512, 768, 3)",1152,51,22.5882352941,37.4562069892,0.985011
kodim03.png,kodim03_quality_70.jpeg,"(512, 768, 3)",1152,40,28.8,36.0563396352,0.980612
kodim03.png,kodim03_quality_60.jpeg,"(512, 768, 3)",1152,33,34.9090909091,35.0836226385,0.975706
kodim03.png,kodim03_quality_50.jpeg,"(512, 768, 3)",1152,29,39.724137931,34.3779422042,0.972066
kodim03.png,kodim03_quality_40.jpeg,"(512, 768, 3)",1152,25,46.08,33.598009959,0.966654
kodim03.png,kodim03_quality_30.jpeg,"(512, 768, 3)",1152,21,54.8571428571,32.6818305372,0.958682
kodim03.png,kodim03_quality_20.jpeg,"(512, 768, 3)",1152,16,72.0,31.2830529837,0.943664
kodim03.png,kodim03_quality_10.jpeg,"(512, 768, 3)",1152,11,104.727272727,28.4165441538,0.874302
kodim04.png,kodim04_quality_100.jpeg,"(768, 512, 3)",1152,303,3.80198019802,45.9544342459,0.998532
kodim04.png,kodim04_quality_90.jpeg,"(768, 512, 3)",1152,99,11.6363636364,38.2418034239,0.992219
kodim04.png,kodim04_quality_80.jpeg,"(768, 512, 3)",1152,64,18.0,35.8452870074,0.987528
kodim04.png,kodim04_quality_70.jpeg,"(768, 512, 3)",1152,50,23.04,34.5799822821,0.983811
kodim04.png,kodim04_quality_60.jpeg,"(768, 512, 3)",1152,41,28.0975609756,33.7282300751,0.980769
kodim04.png,kodim04_quality_50.jpeg,"(768, 512, 3)",1152,36,32.0,33.0984958318,0.978169
kodim04.png,kodim04_quality_40.jpeg,"(768, 512, 3)",1152,31,37.1612903226,32.4164469095,0.974391
kodim04.png,kodim04_quality_30.jpeg,"(768, 512, 3)",1152,25,46.08,31.5388060618,0.96893
kodim04.png,kodim04_quality_20.jpeg,"(768, 512, 3)",1152,19,60.6315789474,30.2102992569,0.958222
kodim04.png,kodim04_quality_10.jpeg,"(768, 512, 3)",1152,12,96.0,27.7042794101,0.926931
kodim05.png,kodim05_quality_100.jpeg,"(512, 768, 3)",1152,401,2.87281795511,44.1038720398,0.997791
kodim05.png,kodim05_quality_90.jpeg,"(512, 768, 3)",1152,159,7.24528301887,36.1388857759,0.984089
kodim05.png,kodim05_quality_80.jpeg,"(512, 768, 3)",1152,112,10.2857142857,33.1051487621,0.969989
kodim05.png,kodim05_quality_70.jpeg,"(512, 768, 3)",1152,90,12.8,31.4278251595,0.957692
kodim05.png,kodim05_quality_60.jpeg,"(512, 768, 3)",1152,76,15.1578947368,30.2907510796,0.946661
kodim05.png,kodim05_quality_50.jpeg,"(512, 768, 3)",1152,67,17.1940298507,29.4515177695,0.936232
kodim05.png,kodim05_quality_40.jpeg,"(512, 768, 3)",1152,58,19.8620689655,28.6248706058,0.924301
kodim05.png,kodim05_quality_30.jpeg,"(512, 768, 3)",1152,49,23.5102040816,27.6070369419,0.906743
kodim05.png,kodim05_quality_20.jpeg,"(512, 768, 3)",1152,38,30.3157894737,26.2219189758,0.874225
kodim05.png,kodim05_quality_10.jpeg,"(512, 768, 3)",1152,24,48.0,23.8501624206,0.786052
kodim06.png,kodim06_quality_100.jpeg,"(512, 768, 3)",1152,336,3.42857142857,45.4786021772,0.998097
kodim06.png,kodim06_quality_90.jpeg,"(512, 768, 3)",1152,121,9.52066115702,37.6615184512,0.986529
kodim06.png,kodim06_quality_80.jpeg,"(512, 768, 3)",1152,82,14.0487804878,34.6801493864,0.974842
kodim06.png,kodim06_quality_70.jpeg,"(512, 768, 3)",1152,66,17.4545454545,33.0555187807,0.965075
kodim06.png,kodim06_quality_60.jpeg,"(512, 768, 3)",1152,55,20.9454545455,31.9227775873,0.955939
kodim06.png,kodim06_quality_50.jpeg,"(512, 768, 3)",1152,48,24.0,31.1090144646,0.94776
kodim06.png,kodim06_quality_40.jpeg,"(512, 768, 3)",1152,42,27.4285714286,30.3386003226,0.938884
kodim06.png,kodim06_quality_30.jpeg,"(512, 768, 3)",1152,35,32.9142857143,29.3815704534,0.924291
kodim06.png,kodim06_quality_20.jpeg,"(512, 768, 3)",1152,27,42.6666666667,28.0785487745,0.900634
kodim06.png,kodim06_quality_10.jpeg,"(512, 768, 3)",1152,17,67.7647058824,25.641072987,0.835431
kodim07.png,kodim07_quality_100.jpeg,"(512, 768, 3)",1152,281,4.09964412811,46.4744215586,0.997635
kodim07.png,kodim07_quality_90.jpeg,"(512, 768, 3)",1152,89,12.9438202247,39.3118692884,0.99085
kodim07.png,kodim07_quality_80.jpeg,"(512, 768, 3)",1152,60,19.2,36.8401711456,0.985656
kodim07.png,kodim07_quality_70.jpeg,"(512, 768, 3)",1152,48,24.0,35.4614582949,0.981416
kodim07.png,kodim07_quality_60.jpeg,"(512, 768, 3)",1152,41,28.0975609756,34.4491825384,0.977057
kodim07.png,kodim07_quality_50.jpeg,"(512, 768, 3)",1152,36,32.0,33.713115996,0.973232
kodim07.png,kodim07_quality_40.jpeg,"(512, 768, 3)",1152,31,37.1612903226,32.9210157931,0.968345
kodim07.png,kodim07_quality_30.jpeg,"(512, 768, 3)",1152,27,42.6666666667,31.9324065867,0.960432
kodim07.png,kodim07_quality_20.jpeg,"(512, 768, 3)",1152,21,54.8571428571,30.5058371765,0.944689
kodim07.png,kodim07_quality_10.jpeg,"(512, 768, 3)",1152,14,82.2857142857,27.5703150142,0.889519
kodim08.png,kodim08_quality_100.jpeg,"(512, 768, 3)",1152,410,2.80975609756,44.0936195283,0.997606
kodim08.png,kodim08_quality_90.jpeg,"(512, 768, 3)",1152,161,7.15527950311,36.0964964697,0.982662
kodim08.png,kodim08_quality_80.jpeg,"(512, 768, 3)",1152,112,10.2857142857,33.0318366615,0.968036
kodim08.png,kodim08_quality_70.jpeg,"(512, 768, 3)",1152,90,12.8,31.3488944455,0.956015
kodim08.png,kodim08_quality_60.jpeg,"(512, 768, 3)",1152,76,15.1578947368,30.1888810031,0.945173
kodim08.png,kodim08_quality_50.jpeg,"(512, 768, 3)",1152,67,17.1940298507,29.3488749703,0.93545
kodim08.png,kodim08_quality_40.jpeg,"(512, 768, 3)",1152,58,19.8620689655,28.5004965763,0.92418
kodim08.png,kodim08_quality_30.jpeg,"(512, 768, 3)",1152,50,23.04,27.4634714896,0.907267
kodim08.png,kodim08_quality_20.jpeg,"(512, 768, 3)",1152,38,30.3157894737,25.9595626079,0.875661
kodim08.png,kodim08_quality_10.jpeg,"(512, 768, 3)",1152,25,46.08,23.5983767569,0.799478
kodim09.png,kodim09_quality_100.jpeg,"(768, 512, 3)",1152,283,4.07067137809,46.6643122797,0.99372
kodim09.png,kodim09_quality_90.jpeg,"(768, 512, 3)",1152,84,13.7142857143,39.5188445929,0.971405
kodim09.png,kodim09_quality_80.jpeg,"(768, 512, 3)",1152,53,21.7358490566,37.2970300686,0.960183
kodim09.png,kodim09_quality_70.jpeg,"(768, 512, 3)",1152,41,28.0975609756,36.0059477433,0.951923
kodim09.png,kodim09_quality_60.jpeg,"(768, 512, 3)",1152,34,33.8823529412,35.0568726286,0.943319
kodim09.png,kodim09_quality_50.jpeg,"(768, 512, 3)",1152,30,38.4,34.3967754956,0.938385
kodim09.png,kodim09_quality_40.jpeg,"(768, 512, 3)",1152,26,44.3076923077,33.6560403399,0.931314
kodim09.png,kodim09_quality_30.jpeg,"(768, 512, 3)",1152,22,52.3636363636,32.6463332051,0.912827
kodim09.png,kodim09_quality_20.jpeg,"(768, 512, 3)",1152,18,64.0,31.2455925421,0.889566
kodim09.png,kodim09_quality_10.jpeg,"(768, 512, 3)",1152,12,96.0,28.4513333856,0.766644
kodim10.png,kodim10_quality_100.jpeg,"(768, 512, 3)",1152,292,3.94520547945,46.0349827042,0.995078
kodim10.png,kodim10_quality_90.jpeg,"(768, 512, 3)",1152,91,12.6593406593,39.3047670686,0.976846
kodim10.png,kodim10_quality_80.jpeg,"(768, 512, 3)",1152,59,19.5254237288,37.0700538075,0.965147
kodim10.png,kodim10_quality_70.jpeg,"(768, 512, 3)",1152,46,25.0434782609,35.7510538683,0.955829
kodim10.png,kodim10_quality_60.jpeg,"(768, 512, 3)",1152,38,30.3157894737,34.8051597133,0.947446
kodim10.png,kodim10_quality_50.jpeg,"(768, 512, 3)",1152,33,34.9090909091,34.0681423992,0.939555
kodim10.png,kodim10_quality_40.jpeg,"(768, 512, 3)",1152,29,39.724137931,33.3102140109,0.93109
kodim10.png,kodim10_quality_30.jpeg,"(768, 512, 3)",1152,24,48.0,32.2918642389,0.914464
kodim10.png,kodim10_quality_20.jpeg,"(768, 512, 3)",1152,19,60.6315789474,30.8566364115,0.885363
kodim10.png,kodim10_quality_10.jpeg,"(768, 512, 3)",1152,13,88.6153846154,28.1242371014,0.800626
kodim11.png,kodim11_quality_100.jpeg,"(512, 768, 3)",1152,326,3.53374233129,46.4579799155,0.996645
kodim11.png,kodim11_quality_90.jpeg,"(512, 768, 3)",1152,114,10.1052631579,37.917718745,0.981346
kodim11.png,kodim11_quality_80.jpeg,"(512, 768, 3)",1152,77,14.961038961,35.0443555382,0.968602
kodim11.png,kodim11_quality_70.jpeg,"(512, 768, 3)",1152,61,18.8852459016,33.4716175508,0.958545
kodim11.png,kodim11_quality_60.jpeg,"(512, 768, 3)",1152,51,22.5882352941,32.3810024378,0.947521
kodim11.png,kodim11_quality_50.jpeg,"(512, 768, 3)",1152,44,26.1818181818,31.6292674185,0.93921
kodim11.png,kodim11_quality_40.jpeg,"(512, 768, 3)",1152,38,30.3157894737,30.8734336512,0.929892
kodim11.png,kodim11_quality_30.jpeg,"(512, 768, 3)",1152,32,36.0,29.9243791629,0.914258
kodim11.png,kodim11_quality_20.jpeg,"(512, 768, 3)",1152,24,48.0,28.6765792541,0.890428
kodim11.png,kodim11_quality_10.jpeg,"(512, 768, 3)",1152,15,76.8,26.2430665888,0.805955
kodim12.png,kodim12_quality_100.jpeg,"(512, 768, 3)",1152,276,4.17391304348,46.87402549,0.998077
kodim12.png,kodim12_quality_90.jpeg,"(512, 768, 3)",1152,85,13.5529411765,39.7824177633,0.990252
kodim12.png,kodim12_quality_80.jpeg,"(512, 768, 3)",1152,55,20.9454545455,37.450454764,0.984234
kodim12.png,kodim12_quality_70.jpeg,"(512, 768, 3)",1152,43,26.7906976744,36.1360902421,0.979293
kodim12.png,kodim12_quality_60.jpeg,"(512, 768, 3)",1152,36,32.0,35.1805225405,0.974812
kodim12.png,kodim12_quality_50.jpeg,"(512, 768, 3)",1152,31,37.1612903226,34.5204009595,0.971238
kodim12.png,kodim12_quality_40.jpeg,"(512, 768, 3)",1152,27,42.6666666667,33.7490661415,0.965986
kodim12.png,kodim12_quality_30.jpeg,"(512, 768, 3)",1152,22,52.3636363636,32.6915832017,0.957905
kodim12.png,kodim12_quality_20.jpeg,"(512, 768, 3)",1152,17,67.7647058824,31.2309889367,0.943401
kodim12.png,kodim12_quality_10.jpeg,"(512, 768, 3)",1152,11,104.727272727,28.6247009421,0.904592
kodim13.png,kodim13_quality_100.jpeg,"(512, 768, 3)",1152,450,2.56,43.6064706858,0.998032
kodim13.png,kodim13_quality_90.jpeg,"(512, 768, 3)",1152,183,6.29508196721,35.2336782132,0.982727
kodim13.png,kodim13_quality_80.jpeg,"(512, 768, 3)",1152,127,9.07086614173,31.5872585734,0.96328
kodim13.png,kodim13_quality_70.jpeg,"(512, 768, 3)",1152,100,11.52,29.6561468514,0.946613
kodim13.png,kodim13_quality_60.jpeg,"(512, 768, 3)",1152,84,13.7142857143,28.4250730971,0.932617
kodim13.png,kodim13_quality_50.jpeg,"(512, 768, 3)",1152,73,15.7808219178,27.5656899459,0.920721
kodim13.png,kodim13_quality_40.jpeg,"(512, 768, 3)",1152,63,18.2857142857,26.7613676458,0.906669
kodim13.png,kodim13_quality_30.jpeg,"(512, 768, 3)",1152,53,21.7358490566,25.8530326729,0.887971
kodim13.png,kodim13_quality_20.jpeg,"(512, 768, 3)",1152,40,28.8,24.6505528082,0.855499
kodim13.png,kodim13_quality_10.jpeg,"(512, 768, 3)",1152,24,48.0,22.772117695,0.781094
kodim14.png,kodim14_quality_100.jpeg,"(512, 768, 3)",1152,369,3.12195121951,43.6677748922,0.997035
kodim14.png,kodim14_quality_90.jpeg,"(512, 768, 3)",1152,139,8.28776978417,36.1241486961,0.979051
kodim14.png,kodim14_quality_80.jpeg,"(512, 768, 3)",1152,94,12.2553191489,33.2184595781,0.961866
kodim14.png,kodim14_quality_70.jpeg,"(512, 768, 3)",1152,75,15.36,31.755765687,0.948434
kodim14.png,kodim14_quality_60.jpeg,"(512, 768, 3)",1152,62,18.5806451613,30.7954656964,0.936649
kodim14.png,kodim14_quality_50.jpeg,"(512, 768, 3)",1152,55,20.9454545455,30.0871661129,0.926317
kodim14.png,kodim14_quality_40.jpeg,"(512, 768, 3)",1152,47,24.5106382979,29.3970180718,0.913976
kodim14.png,kodim14_quality_30.jpeg,"(512, 768, 3)",1152,39,29.5384615385,28.5530653687,0.895417
kodim14.png,kodim14_quality_20.jpeg,"(512, 768, 3)",1152,30,38.4,27.3462792936,0.86308
kodim14.png,kodim14_quality_10.jpeg,"(512, 768, 3)",1152,18,64.0,25.0162962849,0.776582
kodim15.png,kodim15_quality_100.jpeg,"(512, 768, 3)",1152,287,4.01393728223,44.9693279047,0.997058
kodim15.png,kodim15_quality_90.jpeg,"(512, 768, 3)",1152,91,12.6593406593,38.2133635916,0.986486
kodim15.png,kodim15_quality_80.jpeg,"(512, 768, 3)",1152,59,19.5254237288,35.8214877917,0.97832
kodim15.png,kodim15_quality_70.jpeg,"(512, 768, 3)",1152,46,25.0434782609,34.5454027317,0.971882
kodim15.png,kodim15_quality_60.jpeg,"(512, 768, 3)",1152,38,30.3157894737,33.6079709367,0.965954
kodim15.png,kodim15_quality_50.jpeg,"(512, 768, 3)",1152,33,34.9090909091,32.9156922041,0.960826
kodim15.png,kodim15_quality_40.jpeg,"(512, 768, 3)",1152,28,41.1428571429,32.2071409439,0.954658
kodim15.png,kodim15_quality_30.jpeg,"(512, 768, 3)",1152,23,50.0869565217,31.3900250584,0.945664
