reference image,compress image,ref img shape,ref image size,cps stream size,compress ratio,psnr,ssim
kodim01.png,kodim01_ratio_64.jp2,"(512, 768, 3)",1152,17,67.7647058824,12.038774712,0.505725
kodim01.png,kodim01_ratio_36.jp2,"(512, 768, 3)",1152,31,37.1612903226,12.136316651,0.551704
kodim01.png,kodim01_ratio_23.jp2,"(512, 768, 3)",1152,50,23.04,12.1652235007,0.582254
kodim01.png,kodim01_ratio_18.jp2,"(512, 768, 3)",1152,63,18.2857142857,12.1502461211,0.588133
kodim01.png,kodim01_ratio_15.jp2,"(512, 768, 3)",1152,76,15.1578947368,12.1582584688,0.596548
kodim01.png,kodim01_ratio_13.jp2,"(512, 768, 3)",1152,88,13.0909090909,12.1441203157,0.600594
kodim01.png,kodim01_ratio_12.jp2,"(512, 768, 3)",1152,95,12.1263157895,12.165261621,0.604241
kodim01.png,kodim01_ratio_10.jp2,"(512, 768, 3)",1152,115,10.0173913043,12.1459982555,0.60574
kodim01.png,kodim01_ratio_8.jp2,"(512, 768, 3)",1152,143,8.05594405594,12.1365969312,0.608601
kodim01.png,kodim01_ratio_5.jp2,"(512, 768, 3)",1152,229,5.03056768559,12.1394978666,0.612056
kodim01.png,kodim01_ratio_2.jp2,"(512, 768, 3)",1152,540,2.13333333333,12.1428082705,0.612663
kodim02.png,kodim02_ratio_64.jp2,"(512, 768, 3)",1152,17,67.7647058824,14.1284593528,0.58051
kodim02.png,kodim02_ratio_36.jp2,"(512, 768, 3)",1152,31,37.1612903226,14.1063815801,0.578494
kodim02.png,kodim02_ratio_23.jp2,"(512, 768, 3)",1152,50,23.04,14.0876992409,0.576952
kodim02.png,kodim02_ratio_18.jp2,"(512, 768, 3)",1152,63,18.2857142857,14.0809380582,0.576569
kodim02.png,kodim02_ratio_15.jp2,"(512, 768, 3)",1152,76,15.1578947368,14.0729509685,0.575878
kodim02.png,kodim02_ratio_13.jp2,"(512, 768, 3)",1152,88,13.0909090909,14.0710803496,0.575838
kodim02.png,kodim02_ratio_12.jp2,"(512, 768, 3)",1152,95,12.1263157895,14.0730684296,0.576119
kodim02.png,kodim02_ratio_10.jp2,"(512, 768, 3)",1152,115,10.0173913043,14.069949291,0.575828
kodim02.png,kodim02_ratio_8.jp2,"(512, 768, 3)",1152,143,8.05594405594,14.0710149841,0.575927
kodim02.png,kodim02_ratio_5.jp2,"(512, 768, 3)",1152,230,5.00869565217,14.0576067384,0.574359
kodim02.png,kodim02_ratio_2.jp2,"(512, 768, 3)",1152,462,2.49350649351,14.0555041684,0.574019
kodim03.png,kodim03_ratio_64.jp2,"(512, 768, 3)",1152,17,67.7647058824,12.6614337054,0.543062
kodim03.png,kodim03_ratio_36.jp2,"(512, 768, 3)",1152,31,37.1612903226,12.6554757693,0.544666
kodim03.png,kodim03_ratio_23.jp2,"(512, 768, 3)",1152,50,23.04,12.6447060244,0.54747
kodim03.png,kodim03_ratio_18.jp2,"(512, 768, 3)",1152,63,18.2857142857,12.6369343765,0.547704
