reference image,compress image,ref img shape,ref image size,cps stream size,compress ratio,psnr,ssim
kodim01.png,kodim01_quality_50.webp,"(512, 768, 3)",1152,55,20.9454545455,31.7100651491,0.955366
kodim01.png,kodim01_quality_100.webp,"(512, 768, 3)",1152,224,5.14285714286,43.9053053102,0.997392
kodim01.png,kodim01_quality_90.webp,"(512, 768, 3)",1152,133,8.66165413534,39.632919382,0.992836
kodim01.png,kodim01_quality_80.webp,"(512, 768, 3)",1152,89,12.9438202247,35.6935971966,0.982046
kodim01.png,kodim01_quality_70.webp,"(512, 768, 3)",1152,71,16.2253521127,33.5836753392,0.971061
kodim01.png,kodim01_quality_60.webp,"(512, 768, 3)",1152,62,18.5806451613,32.590427609,0.963439
kodim01.png,kodim01_quality_40.webp,"(512, 768, 3)",1152,47,24.5106382979,30.6924693023,0.944146
kodim01.png,kodim01_quality_30.webp,"(512, 768, 3)",1152,39,29.5384615385,29.4920755171,0.926216
kodim01.png,kodim01_quality_20.webp,"(512, 768, 3)",1152,30,38.4,28.271284255,0.9017
kodim01.png,kodim01_quality_10.webp,"(512, 768, 3)",1152,21,54.8571428571,26.8531555944,0.862066
kodim02.png,kodim02_quality_50.webp,"(512, 768, 3)",1152,21,54.8571428571,33.2967791391,0.991294
kodim02.png,kodim02_quality_100.webp,"(512, 768, 3)",1152,169,6.81656804734,42.4199974,0.998756
kodim02.png,kodim02_quality_90.webp,"(512, 768, 3)",1152,80,14.4,39.2848397201,0.99766
kodim02.png,kodim02_quality_80.webp,"(512, 768, 3)",1152,42,27.4285714286,36.3116860826,0.995585
kodim02.png,kodim02_quality_70.webp,"(512, 768, 3)",1152,30,38.4,34.8021891597,0.993813
kodim02.png,kodim02_quality_60.webp,"(512, 768, 3)",1152,25,46.08,34.1914668817,0.99285
kodim02.png,kodim02_quality_40.webp,"(512, 768, 3)",1152,17,67.7647058824,32.6244576921,0.989961
kodim02.png,kodim02_quality_30.webp,"(512, 768, 3)",1152,13,88.6153846154,31.8463479479,0.988104
kodim02.png,kodim02_quality_20.webp,"(512, 768, 3)",1152,10,115.2,30.9801878946,0.985521
kodim02.png,kodim02_quality_10.webp,"(512, 768, 3)",1152,6,192.0,29.7086415641,0.980589
kodim03.png,kodim03_quality_50.webp,"(512, 768, 3)",1152,17,67.7647058824,34.8499550148,0.973214
kodim03.png,kodim03_quality_100.webp,"(512, 768, 3)",1152,127,9.07086614173,43.9246540539,0.995062
kodim03.png,kodim03_quality_90.webp,"(512, 768, 3)",1152,53,21.7358490566,40.8095696537,0.991043
kodim03.png,kodim03_quality_80.webp,"(512, 768, 3)",1152,30,38.4,37.9164459871,0.984774
kodim03.png,kodim03_quality_70.webp,"(512, 768, 3)",1152,23,50.0869565217,36.3010640716,0.980079
kodim03.png,kodim03_quality_60.webp,"(512, 768, 3)",1152,19,60.6315789474,35.5979611663,0.976801
kodim03.png,kodim03_quality_40.webp,"(512, 768, 3)",1152,14,82.2857142857,33.8362010962,0.964913
kodim03.png,kodim03_quality_30.webp,"(512, 768, 3)",1152,11,104.727272727,32.9386996003,0.959252
kodim03.png,kodim03_quality_20.webp,"(512, 768, 3)",1152,9,128.0,31.6927837374,0.940012
kodim03.png,kodim03_quality_10.webp,"(512, 768, 3)",1152,6,192.0,30.5731128542,0.920705
kodim04.png,kodim04_quality_50.webp,"(768, 512, 3)",1152,24,48.0,33.3508739665,0.979044
kodim04.png,kodim04_quality_100.webp,"(768, 512, 3)",1152,172,6.6976744186,43.3906330529,0.997444
kodim04.png,kodim04_quality_90.webp,"(768, 512, 3)",1152,82,14.0487804878,39.7977421036,0.994167
kodim04.png,kodim04_quality_80.webp,"(768, 512, 3)",1152,45,25.6,36.4206909772,0.988406
kodim04.png,kodim04_quality_70.webp,"(768, 512, 3)",1152,32,36.0,34.7962637505,0.984275
kodim04.png,kodim04_quality_60.webp,"(768, 512, 3)",1152,28,41.1428571429,34.0797224022,0.9818
kodim04.png,kodim04_quality_40.webp,"(768, 512, 3)",1152,20,57.6,32.5492424436,0.975411
kodim04.png,kodim04_quality_30.webp,"(768, 512, 3)",1152,16,72.0,31.5131213064,0.970348
kodim04.png,kodim04_quality_20.webp,"(768, 512, 3)",1152,12,96.0,30.5158035713,0.961643
kodim04.png,kodim04_quality_10.webp,"(768, 512, 3)",1152,8,144.0,29.2409403789,0.950294
kodim05.png,kodim05_quality_50.webp,"(512, 768, 3)",1152,58,19.8620689655,31.442175475,0.956233
kodim05.png,kodim05_quality_100.webp,"(512, 768, 3)",1152,237,4.86075949367,41.8162389388,0.996044
kodim05.png,kodim05_quality_90.webp,"(512, 768, 3)",1152,138,8.34782608696,38.3506679876,0.990463
kodim05.png,kodim05_quality_80.webp,"(512, 768, 3)",1152,93,12.3870967742,34.9799944604,0.979487
kodim05.png,kodim05_quality_70.webp,"(512, 768, 3)",1152,74,15.5675675676,33.0862201067,0.969329
kodim05.png,kodim05_quality_60.webp,"(512, 768, 3)",1152,66,17.4545454545,32.2574935345,0.962899
kodim05.png,kodim05_quality_40.webp,"(512, 768, 3)",1152,51,22.5882352941,30.4559398818,0.946315
kodim05.png,kodim05_quality_30.webp,"(512, 768, 3)",1152,43,26.7906976744,29.3523659782,0.932716
kodim05.png,kodim05_quality_20.webp,"(512, 768, 3)",1152,35,32.9142857143,28.1845669728,0.913365
kodim05.png,kodim05_quality_10.webp,"(512, 768, 3)",1152,26,44.3076923077,26.6455136024,0.877671
kodim06.png,kodim06_quality_50.webp,"(512, 768, 3)",1152,41,28.0975609756,32.5132505429,0.959498
kodim06.png,kodim06_quality_100.webp,"(512, 768, 3)",1152,197,5.84771573604,43.5716281876,0.996785
kodim06.png,kodim06_quality_90.webp,"(512, 768, 3)",1152,112,10.2857142857,39.8578682443,0.992279
kodim06.png,kodim06_quality_80.webp,"(512, 768, 3)",1152,68,16.9411764706,36.0996781103,0.981417
kodim06.png,kodim06_quality_70.webp,"(512, 768, 3)",1152,52,22.1538461538,34.0523458472,0.970361
kodim06.png,kodim06_quality_60.webp,"(512, 768, 3)",1152,47,24.5106382979,33.3519278485,0.966728
kodim06.png,kodim06_quality_40.webp,"(512, 768, 3)",1152,35,32.9142857143,31.6089876521,0.951626
kodim06.png,kodim06_quality_30.webp,"(512, 768, 3)",1152,28,41.1428571429,30.4054067345,0.937493
kodim06.png,kodim06_quality_20.webp,"(512, 768, 3)",1152,22,52.3636363636,29.2230862963,0.919754
kodim06.png,kodim06_quality_10.webp,"(512, 768, 3)",1152,16,72.0,27.7472336837,0.888472
kodim07.png,kodim07_quality_50.webp,"(512, 768, 3)",1152,23,50.0869565217,34.4476867226,0.976305
