reference image,compress image,ref img shape,ref image size,cps stream size,compress ratio,psnr,ssim
kodim01.png,kodim01_ratio_256.jp2,"(512, 768, 3)",1152,4,288.0,11.8924961353,0.400849
kodim01.png,kodim01_ratio_192.jp2,"(512, 768, 3)",1152,6,192.0,11.9245771004,0.423318
kodim01.png,kodim01_ratio_128.jp2,"(512, 768, 3)",1152,9,128.0,11.9798564654,0.456103
kodim01.png,kodim01_ratio_96.jp2,"(512, 768, 3)",1152,11,104.727272727,12.0057061075,0.473403
kodim01.png,kodim01_ratio_64.jp2,"(512, 768, 3)",1152,17,67.7647058824,12.038774712,0.505725
kodim01.png,kodim01_ratio_48.jp2,"(512, 768, 3)",1152,23,50.0869565217,12.1249832705,0.536919
kodim01.png,kodim01_ratio_32.jp2,"(512, 768, 3)",1152,35,32.9142857143,12.1440914635,0.559688
kodim01.png,kodim01_ratio_24.jp2,"(512, 768, 3)",1152,48,24.0,12.1553409614,0.580476
kodim01.png,kodim01_ratio_16.jp2,"(512, 768, 3)",1152,71,16.2253521127,12.1521304593,0.593331
kodim01.png,kodim01_ratio_12.jp2,"(512, 768, 3)",1152,95,12.1263157895,12.165261621,0.604241
kodim01.png,kodim01_ratio_8.jp2,"(512, 768, 3)",1152,143,8.05594405594,12.1365969312,0.608601
kodim02.png,kodim02_ratio_256.jp2,"(512, 768, 3)",1152,4,288.0,14.1169269522,0.580239
kodim02.png,kodim02_ratio_192.jp2,"(512, 768, 3)",1152,5,230.4,14.1641414139,0.584361
kodim02.png,kodim02_ratio_128.jp2,"(512, 768, 3)",1152,9,128.0,14.1619772887,0.583902
kodim02.png,kodim02_ratio_96.jp2,"(512, 768, 3)",1152,11,104.727272727,14.1640078524,0.584293
kodim02.png,kodim02_ratio_64.jp2,"(512, 768, 3)",1152,17,67.7647058824,14.1284593528,0.58051
kodim02.png,kodim02_ratio_48.jp2,"(512, 768, 3)",1152,24,48.0,14.1141920178,0.57903
